Source,Target,Export,Import,Diplomatic,War,Border,International Cases,Treaties,Exchange Rate,Religion_conflicts,,
Albania,Poland,8560000,89580000,1,0,0,0,1,27.55881859,1,,
Albania,Portugal,527970,15390000,1,0,0,0,0,123.648923,1,,
Albania,Qatar,618580,4470000,1,0,0,0,0,28.80908138,1,,
Albania,Romania,44230000,98090000,1,0,0,0,0,25.38993301,0,,
Albania,Russia,855520,117180000,1,0,0,0,0,1.367020147,0,,
Albania,Rwanda,19670,1060,0,0,0,0,0,0.105883836,1,,
Albania,st-kitts-nevis,76030,9890,0,0,0,0,0,38.59948155,1,,
Albania,Saint-Lucia,0,0,0,0,0,0,0,38.59948155,1,,
Albania,st-vincent-grenadines,6560,7180,0,0,0,0,0,38.59948155,1,,
Albania,Samoa,0,2760,0,0,0,0,0,40.56874929,1,,
Albania,San-Marino,215820,588470,1,0,0,0,0,123.648923,1,,
Albania,sao-tome-principe,1800,298,0,0,0,0,0,0.004959942,1,,
Albania,Saudi-Arabia,1320000,9400000,1,0,0,0,0,27.81357589,1,,
Albania,Senegal,245640,28850,0,0,0,0,0,0.188609924,1,,
Albania,Serbia,325430000,283830000,1,1,0,0,0,1.052110245,0,,
Albania,Seychelles,175660,11,0,0,0,0,0,5.076254005,2,,
Albania,Sierra-Leone,122770,9020,0,0,0,0,0,0.010442145,1,,
Albania,Singapore,1180000,1500000,0,0,0,0,0,77.57468189,1,,
Albania,Slovakia,5580000,16480000,1,0,0,0,1,123.648923,1,,
Albania,Slovenia,31340000,40080000,1,0,0,0,1,123.648923,1,,
Albania,Solomon-Islands,0,4540,0,0,0,0,0,12.87653096,1,,
Albania,Somalia,1240000,1720,0,0,0,0,0,0.17893138,0,,
Albania,South-Africa,199730,1540000,0,0,0,0,0,6.799266421,1,,
Albania,South-Korea,277200,25870000,0,0,0,0,0,0.094291067,1,,
Albania,South-Sudan,0,0,0,0,0,0,0,1.885532194,1,,
Albania,Spain,223940000,148820000,1,0,0,0,0,123.648923,1,,
Albania,Sri-Lanka,38360,1900000,0,0,0,0,0,0.565014761,2,,
Albania,Sudan,0,86240,0,0,0,0,0,1.885532194,1,,
Albania,Suriname,5480,5940,0,0,0,0,0,7.370146338,1,,
Albania,Sweden,21660000,20350000,1,0,0,0,0,12.09474291,1,,
Albania,Switzerland,27180000,94870000,1,0,0,0,1,114.2987165,1,,
Albania,Syria,11750,37710,0,0,0,0,0,0.203378883,1,,
Albania,Taiwan,0,0,0,0,0,0,0,3.656974707,2,,
Albania,Tajikistan,32410,25,0,0,0,0,0,9.235100904,0,,
Albania,Tanzania,21550,187620,0,0,0,0,0,0.044983623,2,,
